wx1,wx2,wx3,wx4,wx5,wina
D,S,H,F,T,-1.0
D,S,H,F,D,-1.0
D,S,H,F,T,-1.0
D,S,H,F,D,-1.0
D,S,H,F,T,1.0
D,S,H,F,D,1.0
D,S,H,F,T,0.0
D,S,H,F,T,0.0
D,S,H,F,T,-1.0
D,S,H,F,T,-1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,-1.0
D,S,H,F,T,-1.0
D,S,T,F,T,-1.0
D,S,T,F,T,-1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,-1.0
D,S,H,F,T,-1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,-1.0
D,S,H,F,T,-1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,-1.0
D,S,H,F,T,-1.0
D,S,H,F,T,-1.0
D,S,H,F,T,-1.0
D,S,H,F,T,-1.0
D,S,H,F,T,1.0
D,S,C,W,D,1.0
D,S,C,W,D,1.0
D,,C,W,D,-1.0
D,,C,W,D,-1.0
W,H,C,W,D,1.0
W,,C,W,T,-1.0
W,,C,W,T,-1.0
W,,C,W,T,-1.0
W,,C,W,T,-1.0
W,,C,W,T,-1.0
W,,C,W,T,-1.0
W,,C,W,T,-1.0
W,,C,W,T,-1.0
D,S,T,W,T,-1.0
D,S,T,W,T,-1.0
D,S,T,W,T,1.0
D,S,T,W,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
W,L,T,F,T,-1.0
W,L,T,F,T,-1.0
W,L,T,F,T,-1.0
W,L,T,F,T,-1.0
W,L,C,W,T,1.0
W,L,C,W,T,1.0
W,L,C,W,T,-1.0
W,L,C,W,T,-1.0
D,,C,W,T,1.0
D,,C,W,T,1.0
D,,C,W,T,1.0
D,,C,W,T,1.0
D,,C,W,T,1.0
D,,C,W,T,1.0
D,,C,W,T,1.0
W,L,T,S,T,1.0
W,L,T,$,T,-1.0
D,,H,S,D,1.0
D,,H,S,D,-1.0
D,,H,F,D,-1.0
D,,H,S,D,1.0
D,,H,S,D,1.0
D,,H,S,D,1.0
D,,T,$,T,1.0
D,,H,S,D,1.0
D,,T,$,D,1.0
D,,H,S,D,1.0
D,,T,W,D,1.0
D,,T,W,D,1.0
D,,H,F,D,-1.0
D,,H,F,D,1.0
D,,H,F,D,1.0
D,,H,F,D,1.0
D,,T,$,E,1.0
D,,T,$,D,0.0
D,,H,S,D,-1.0
W,L,T,$,T,1.0
W,L,T,$,T,1.0
D,,T,$,T,-1.0
W,L,T,S,T,0.0
